Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Approximate Volume Released,Substance,Release Type,Significant,Marker,Year
INC2010-025,Release of Substance,02/20/2010,Belleville,Ontario,TransCanada PipeLines Limited,Closed,44.68365,-75.62111,51.4,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-028,Release of Substance,02/26/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54457,-113.35511,150,Crude Oil - Sweet,Liquid,No,small_blue,2010
INC2010-029,Release of Substance,02/27/2010,Laval,Quebec,Trans-Northern Pipelines Inc.,Submitted,45.624393,-73.639169,30,Gasoline,Liquid,Yes,small_blue,2010
INC2010-032,Release of Substance,03/03/2010,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.34669,-116.87305,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-033,Release of Substance,03/12/2010,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,52.75419,-114.11969,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-034,Release of Substance,03/16/2010,Oakville,Ontario,Trans-Northern Pipelines Inc.,Submitted,43.406148,-79.735605,90,Gasoline,Liquid,Yes,small_blue,2010
INC2010-040,Fire,03/26/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54756,-113.35559,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2010
INC2010-041,Fire,03/27/2010,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.19166,-118.1942,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2010
INC2010-042,Release of Substance,04/12/2010,Caronport,Saskatchewan,TransCanada PipeLines Limited,Closed,50.48051,-105.86728,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-045,Release of Substance,04/21/2010,Ancaster,Ontario,TransCanada PipeLines Limited,Closed,43.18849,-79.8485,100,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-047,Release of Substance,05/05/2010,Not specified,Ontario,TransCanada PipeLines Limited,Closed,48.64904,-80.69866,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-048,Fire,05/05/2010,Cobourg,Ontario,TransCanada PipeLines Limited,Closed,44.04719,-78.00847,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2010
INC2010-050,Fire,05/11/2010,Sundre,Alberta,NOVA Gas Transmission Ltd.,Closed,51.943585,-114.736419,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2010
INC2010-051,Release of Substance,05/22/2010,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.19361,-118.20534,1,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-052,Release of Substance,05/25/2010,Brandon,Manitoba,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,Submitted,50.04165,-99.66005,Not Provided,Propane,Gas,No,small_green,2010
INC2010-053,Release of Substance,05/27/2010,Brooks,Alberta,NOVA Gas Transmission Ltd.,Closed,50.69805,-111.53063,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-054,Release of Substance,05/28/2010,Pennant,Saskatchewan,TransCanada PipeLines Limited,Closed,50.57578,-108.36036,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-055,Release of Substance,06/03/2010,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.093481,-116.62138,0.1,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-057,Release of Substance,06/17/2010,Not specified,Saskatchewan,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,Submitted,50.65773,-109.53719,Not Provided,Mixed HVP Hydrocarbons,Gas,No,small_green,2010
INC2010-058,Release of Substance,06/16/2010,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83027,-118.64709,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-059,Release of Substance,06/18/2010,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.30724,-66.04254,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-060,"Fire, Release of Substance",06/22/2010,Grenfell,Saskatchewan,TransCanada PipeLines Limited,Closed,50.28617,-102.95153,100,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-061,Release of Substance,06/22/2010,Cactus Lake,Saskatchewan,Enbridge Pipelines Inc.,Closed,52.13984,-109.80493,25,Crude Oil - Sour,Liquid,No,small_blue,2010
INC2010-062,Release of Substance,06/24/2010,Whitecourt,Alberta,NOVA Gas Transmission Ltd.,Closed,54.1326,-115.2362,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-063,Fire,06/24/2010,Prince George,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,54.28494,-122.61215,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2010
INC2010-066,Release of Substance,07/08/2010,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Submitted,53.16727,-112.15003,0.5,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-073,Release of Substance,07/14/2010,Montreal,Quebec,Trans-Northern Pipelines Inc.,Submitted,45.625209,-73.543389,Not Provided,Jet Fuel,Liquid,No,small_blue,2010
INC2010-074,Release of Substance,07/15/2010,Cochrane,Ontario,TransCanada PipeLines Limited,Closed,48.94621,-80.99467,3300,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-079,Release of Substance,07/25/2010,Maple Creek,Ontario,TransCanada PipeLines Limited,Closed,43.87391,-79.57983,100,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-084,Release of Substance,08/03/2010,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.26269,-65.98211,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-089,Release of Substance,08/16/2010,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83026,-118.64722,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-090,Release of Substance,08/18/2010,Beiseker,Alberta,NOVA Gas Transmission Ltd.,Submitted,51.32247,-113.38195,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-091,Release of Substance,08/23/2010,Williamstown,Ontario,Trans-Northern Pipelines Inc.,Submitted,45.140221,-74.562991,25.1,Gasoline,Liquid,No,small_blue,2010
INC2010-092,Release of Substance,08/25/2010,Cobourg,Ontario,TransCanada PipeLines Limited,Closed,44.00638,-78.19719,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-096,Release of Substance,09/07/2010,Carstairs,Alberta,NOVA Gas Transmission Ltd.,Closed,51.50897,-113.86985,3,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-097,Release of Substance,09/08/2010,Whitecourt,Alberta,Alliance Pipeline Ltd.,Closed,54.31015,-115.68078,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-098,Release of Substance,09/11/2010,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,57.18167,-118.19522,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-101,Release of Substance,09/20/2010,Alida,Saskatchewan,Enbridge Pipelines Inc.,Closed,49.42185,-101.87015,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-102,Operation Beyond Design Limits,09/21/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54740278,-113.3556944,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-103,Release of Substance,09/22/2010,Saint George,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.129046,-66.831379,14.2,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-104,Release of Substance,09/23/2010,Enchant,Alberta,NOVA Gas Transmission Ltd.,Submitted,50.04984,-112.53824,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-105,Release of Substance,09/29/2010,Spirit River,Alberta,NOVA Gas Transmission Ltd.,Closed,55.77705,-119.36823,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-106,Release of Substance,09/30/2010,Geraldton,Ontario,TransCanada PipeLines Limited,Closed,49.73149,-87.06539,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-107,Release of Substance,10/01/2010,Piapot,Saskatchewan,Foothills Pipe Lines Ltd.,Closed,49.98,-109.12,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-110,Release of Substance,10/06/2010,North Bay,Ontario,TransCanada PipeLines Limited,Closed,46.37985,-79.46885,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-111,Release of Substance,10/07/2010,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.0923,-116.62298,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-112,Release of Substance,10/07/2010,Monchy,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Closed,50.53819444,-107.3048333,Not Provided,Fuel Gas,Gas,No,small_green,2010
INC2010-113,"Explosion, Fire",10/14/2010,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.63939722,-121.6420556,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2010
INC2010-114,Release of Substance,10/15/2010,Haldimand,Ontario,Enbridge Pipelines Inc.,Closed,42.83421028,-80.0417111,17.5,Crude Oil - Sweet,Liquid,No,small_blue,2010
INC2010-116,Release of Substance,10/21/2010,North Bay,Ontario,TransCanada PipeLines Limited,Closed,46.43231389,-79.4676583,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-117,Operation Beyond Design Limits,10/23/2010,Hardisty,Alberta,Enbridge Pipelines Inc.,Submitted,52.7013,-111.4402222,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-118,Fire,10/27/2010,Kenora,Ontario,TransCanada PipeLines Limited,Closed,49.79171111,-94.4943138,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2010
INC2010-119,Release of Substance,10/28/2010,Burstall,Saskatchewan,TransCanada PipeLines Limited,Closed,50.67645278,-109.9787222,11000,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-121,Release of Substance,11/01/2010,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83012222,-118.6471944,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-122,Release of Substance,11/02/2010,Kendal,Saskatchewan,TransCanada PipeLines Limited,Closed,50.33116111,-103.6093333,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-124,Operation Beyond Design Limits,11/05/2010,Gordondale,Alberta,NOVA Gas Transmission Ltd.,Submitted,55.82576,-119.73576,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-127,Fire,11/15/2010,Portage La Prairie,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Closed,50.01944722,-99.3645055,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2010
INC2010-128,Release of Substance,11/17/2010,Grovedale,Alberta,NOVA Gas Transmission Ltd.,Closed,54.67993889,-118.9943333,1,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-129,Release of Substance,11/19/2010,Lincoln,Ontario,TransCanada PipeLines Limited,Closed,43.11360833,-79.463075,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-130,Release of Substance,11/19/2010,Jellicoe,Ontario,TransCanada PipeLines Limited,Closed,49.68026111,-87.5951138,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-131,Release of Substance,11/20/2010,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.27811111,-66.0088056,2.8,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-134,Adverse Environmental Effects,11/22/2010,Not specified,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.39952,-122.09349,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-135,Release of Substance,11/22/2010,Tumbler Ridge,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,54.86820278,-120.6479722,Not Provided,Natural Gas - Sour,Gas,No,small_green,2010
INC2010-137,Release of Substance,11/22/2010,Kendal,Saskatchewan,TransCanada PipeLines Limited,Closed,50.33177,-103.60955,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-139,Operation Beyond Design Limits,11/24/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54769,-113.35921,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-141,Release of Substance,11/27/2010,Piapot,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Closed,49.98,-109.12,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-143,Release of Substance,11/30/2010,Shaunavon,Saskatchewan,Foothills Pipe Lines Ltd.,Closed,49.55266,-108.3695,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-145,Release of Substance,12/01/2010,Hanna,Alberta,NOVA Gas Transmission Ltd.,Closed,51.93893056,-112.0749444,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-147,Release of Substance,12/01/2010,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.886624,-66.551134,0.5,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-148,Release of Substance,12/03/2010,Cabri,Saskatchewan,TransCanada PipeLines Limited,Closed,50.605125,-108.7085556,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-149,Operation Beyond Design Limits,12/03/2010,Hardisty,Alberta,Enbridge Pipelines Inc.,Closed,52.63944722,-111.2781389,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-150,Release of Substance,12/06/2010,Sundridge,Ontario,TransCanada PipeLines Limited,Closed,45.71830278,-79.4368138,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-151,Operation Beyond Design Limits,12/08/2010,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,59.20186,-121.596498,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-153,Release of Substance,12/10/2010,Regina,Saskatchewan,TransCanada PipeLines Limited,Closed,50.39316667,-104.4093611,2.8,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-155,Release of Substance,12/13/2010,Jellicoe,Ontario,TransCanada PipeLines Limited,Closed,49.70361,-87.41084,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-157,Release of Substance,12/15/2010,Dartmouth,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.663897,-63.568182,1,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-158,Fire,12/17/2010,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Submitted,52.65486,-111.26462,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2010
INC2010-159,Release of Substance,12/17/2010,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.50731,-116.44281,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-164,Release of Substance,12/22/2010,Jarvie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.65256,-114.52778,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2011-003,Fire,01/09/2011,Grande Prairie,Alberta,Alliance Pipeline Ltd.,Closed,54.5224,-118.10037,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-004,Release of Substance,01/13/2011,Marten River,Ontario,TransCanada PipeLines Limited,Closed,46.84822454,-79.8090245,192,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-008,Release of Substance,01/21/2011,Bowmanville,Ontario,TransCanada PipeLines Limited,Closed,43.96,-78.81941,1000,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-011,Release of Substance,01/31/2011,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,55.57555,-113.87749,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-012,Operation Beyond Design Limits,01/31/2011,Toronto,Ontario,Trans-Northern Pipelines Inc.,Closed,43.69257,-79.61074,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2011
INC2011-014,Fire,02/02/2011,Neutral Hills,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.29321,-111.09081,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-016,Release of Substance,02/03/2011,Monchy,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Closed,49.017155,-107.831853,2,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-017,Release of Substance,02/04/2011,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.88657778,-66.5511694,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-018,Release of Substance,02/07/2011,Moncton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.11307222,-64.7157694,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-019,Fire,02/08/2011,Neutral Hills,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.29334,-111.09092,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-026,Release of Substance,02/14/2011,North Bay,Ontario,TransCanada PipeLines Limited,Closed,46.37977,-79.46897,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-027,Release of Substance,02/18/2011,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.887,-66.551169,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-029,"Fire, Release of Substance",02/20/2011,Beardmore,Ontario,TransCanada PipeLines Limited,Submitted,49.58894444,-87.9718889,0.0001,Natural Gas - Sweet,Gas,Yes,small_green,2011
INC2011-030,Release of Substance,02/20/2011,Rainbow Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,58.44721,-119.22429,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-032,Release of Substance,02/23/2011,Burnside,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.3,-62.983333,3,Natural Gas - Sweet,Gas,No,small_green,2011
INC2009-148,Serious Injury (NEB or TSB),12/06/2010,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Submitted,49.266235,-122.928102,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2009
INC2011-035,Fire,03/02/2011,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Closed,57.25289,-111.05669,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-036,Release of Substance,03/02/2011,Hanna,Alberta,NOVA Gas Transmission Ltd.,Closed,52.36527,-113.08174,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-038,Release of Substance,03/07/2011,Kamloops,British Columbia,Trans Mountain Pipeline ULC,Closed,50.66255,-120.41416,11,Waste Oil,Liquid,No,small_blue,2011
INC2011-042,Release of Substance,03/13/2011,Rosebud,Alberta,NOVA Gas Transmission Ltd.,Closed,51.18869,-112.93903,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-044,Release of Substance,03/17/2011,Ignace,Ontario,TransCanada PipeLines Limited,Closed,49.48823,-91.98782,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-045,Release of Substance,03/18/2011,Ignace,Ontario,TransCanada PipeLines Limited,Closed,49.48823,-91.98782,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-046,Release of Substance,03/21/2011,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.85595,-121.78287,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-048,Release of Substance,03/24/2011,Regina,Saskatchewan,Alliance Pipeline Ltd.,Closed,49.9746,-103.6528,170,Natural Gas - Sweet,Gas,No,small_green,2011
INC2009-149,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.54740278,-113.3556944,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2009
INC2011-053,Release of Substance,03/31/2011,Nipigon,Ontario,TransCanada PipeLines Limited,Closed,49.29513,-88.10109,1000,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-054,Fatality,04/01/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.868241,-118.809763,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2011
INC2011-056,Release of Substance,04/03/2011,Burnside,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.3,-62.98333,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-055,Release of Substance,04/01/2011,Tunis,Ontario,TransCanada PipeLines Limited,Closed,48.87166,-80.893589,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-058,"Release of Substance, Operation Beyond Design Limits",04/05/2011,Burnside,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.3,-62.98333,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-059,Release of Substance,04/06/2011,Hardisty,Alberta,Enbridge Pipelines Inc.,Closed,52.635343,-111.267485,Not Provided,Natural Gas Liquids,Gas,No,small_green,2011
INC2010-167,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2009-150,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.54740278,-113.3556944,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2009
INC2009-151,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.54740278,-113.3556944,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2009
INC2009-152,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.54740278,-113.3556944,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2009
INC2010-168,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-169,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-170,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-171,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-172,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-173,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-174,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-175,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-176,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-177,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2011-061,Release of Substance,04/14/2011,Cochrane,Ontario,TransCanada PipeLines Limited,Closed,49.10559503,-81.273875,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-063,Release of Substance,04/17/2011,Wabigoon,Ontario,TransCanada PipeLines Limited,Closed,49.72702,-92.58215,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-064,Release of Substance,04/21/2011,Zama Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,59.06394,-118.84693,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-065,Release of Substance,04/22/2011,Chip Lake,Alberta,Trans Mountain Pipeline ULC,Submitted,53.60352778,-115.4963889,1.6,Crude Oil - Sweet,Liquid,Yes,small_blue,2011
INC2011-066,Release of Substance,04/26/2011,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.28501,-121.65768,1300,Natural Gas - Sour,Gas,No,small_green,2011
INC2011-067,Release of Substance,04/25/2011,Burstall,Saskatchewan,TransCanada PipeLines Limited,Closed,50.67651,-109.97872,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-068,Fire,04/28/2011,Czar,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.29327,-111.0907,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-070,Fire,05/03/2011,Hamilton,Ontario,TransCanada PipeLines Limited,Closed,43.25556,-79.87348,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2011
INC2011-071,Release of Substance,05/03/2011,Beardmore,Ontario,TransCanada PipeLines Limited,Closed,49.61136,-87.96157,50,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-073,Release of Substance,05/07/2011,Edson,Alberta,NOVA Gas Transmission Ltd.,Submitted,53.60098,-116.46762,10,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-074,Release of Substance,05/09/2011,Wrigley,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,62.70880556,-123.079889,259,Crude Oil - Sweet,Liquid,No,small_blue,2011
INC2011-075,Release of Substance,05/12/2011,Terrebonne,Quebec,Enbridge Pipelines Inc.,Closed,45.72466,-73.69588,4,Crude Oil - Sweet,Liquid,No,small_blue,2011
INC2011-085,Release of Substance,05/27/2011,Pincher Creek,Alberta,NOVA Gas Transmission Ltd.,Submitted,49.30721,-114.015,2,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-087,Release of Substance,06/05/2011,Niverville,Manitoba,TransCanada PipeLines Limited,Closed,49.58317,-97.0036,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-089,Release of Substance,06/06/2011,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.30744,-66.04273,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-090,Fatality,06/07/2011,Dawson Creek,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.81189,-120.86837,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2011
INC2011-094,Release of Substance,06/17/2011,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.254,-120.716,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2011
INC2011-095,Operation Beyond Design Limits,06/21/2011,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Submitted,52.64129,-111.2708,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2011
