Case,Region,Variable_French,Type,Year,Value
Prix Bas,Ontario,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2030,9176.878
Prix Bas,Ontario,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2031,9216.878
Prix Bas,Ontario,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2032,9216.878
Prix Bas,Ontario,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2033,9276.878
Prix Bas,Ontario,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2034,9276.878
Prix Bas,Ontario,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2035,9316.878
Prix Bas,Ontario,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2036,9316.878
Prix Bas,Ontario,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2037,9376.878
Prix Bas,Ontario,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2038,9376.878
Prix Bas,Ontario,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2039,9416.878
Prix Bas,Ontario,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2040,9416.878
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2005,6790.682
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2006,6790.682
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2007,6790.682
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2008,6790.682
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2009,6790.682
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2010,6790.682
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2011,6793.682
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2012,6793.682
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2013,6793.682
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2014,6793.682
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2015,6793.682
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2016,6793.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2017,6793.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2018,6793.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2019,6793.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2020,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2021,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2022,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2023,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2024,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2025,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2026,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2027,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2028,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2029,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2030,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2031,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2032,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2033,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2034,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2035,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2036,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2037,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2038,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2039,7617.681
Prix Bas,Terre-Neuve-et-Labrador,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2040,7617.681
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2005,5053.63
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2006,5053.63
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2007,5053.63
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2008,5053.63
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2009,5053.63
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2010,5053.63
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2011,5053.63
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2012,5053.63
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2013,5254.63
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2014,5313.05
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2015,5349.158
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2016,5349.159
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2017,5349.159
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2018,5349.159
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2019,5349.159
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2020,5749.159
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2021,6049.159
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2022,6049.159
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2023,6049.159
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2024,6049.159
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2025,6049.159
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2026,6049.159
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2027,6643.16
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2028,6643.16
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2029,7534.16
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2030,7534.16
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2031,7534.16
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2032,7534.16
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2033,7534.16
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2034,7534.16
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2035,7534.16
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2036,7534.16
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2037,7534.16
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2038,7534.16
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2039,7534.16
Prix Bas,Manitoba,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2040,7534.16
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2005,953.13
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2006,953.13
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2007,953.13
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2008,953.13
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2009,953.13
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2010,953.13
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2011,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2012,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2013,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2014,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2015,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2016,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2017,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2018,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2019,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2020,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2021,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2022,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2023,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2024,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2025,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2026,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2027,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2028,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2029,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2030,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2031,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2032,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2033,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2034,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2035,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2036,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2037,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2038,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2039,960.98
Prix Bas,Nouveau-Brunswick,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2040,960.98
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2005,869
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2006,874
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2007,874
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2008,874
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2009,874
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2010,874
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2011,879
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2012,894
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2013,894
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2014,894
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2015,894
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2016,894.35
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2017,894.35
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2018,894.35
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2019,894.35
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2020,894.35
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2021,894.35
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2022,894.35
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2023,894.35
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2024,894.35
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2025,894.35
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2026,899.96
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2027,905.009
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2028,1009.553
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2029,1109.553
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2030,1209.553
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2031,1209.553
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2032,1209.553
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2033,1209.553
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2034,1209.553
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2035,1209.553
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2036,1209.553
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2037,1209.553
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2038,1209.553
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2039,1209.553
Prix Bas,Alberta,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2040,1209.553
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2005,863.81
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2006,863.81
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2007,863.81
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2008,863.81
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2009,863.81
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2010,863.81
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2011,863.81
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2012,863.81
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2013,863.81
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2014,863.81
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2015,889.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2016,889.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2017,889.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2018,889.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2019,889.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2020,889.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2021,939.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2022,939.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2023,939.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2024,939.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2025,964.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2026,964.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2027,964.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2028,964.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2029,964.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2030,964.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2031,964.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2032,989.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2033,989.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2034,989.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2035,989.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2036,989.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2037,989.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2038,989.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2039,989.06
Prix Bas,Saskatchewan,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2040,989.06
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2005,401.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2006,401.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2007,401.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2008,401.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2009,401.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2010,401.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2011,401.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2012,401.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2013,401.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2014,388.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2015,388.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2016,388.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2017,392.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2018,392.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2019,392.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2020,438.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2021,438.2
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2022,463.37
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2023,463.37
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2024,463.37
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2025,486.023
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2026,506.4107
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2027,506.4107
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2028,506.4107
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2029,506.4107
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2030,506.4107
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2031,506.4107
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2032,506.4107
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2033,506.4107
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2034,506.4107
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2035,506.4107
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2036,506.4107
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2037,506.4107
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2038,506.4107
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2039,506.4107
Prix Bas,Nouvelle-écosse,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2040,506.4107
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2005,77.9
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2006,77.9
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2007,77.9
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2008,77.9
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2009,77.9
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2010,77.9
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2011,87.9
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2012,95.2
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2013,94.5
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2014,94.5
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2015,94.5
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2016,94.5
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2017,94.5
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2018,94.5
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2019,94.5
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2020,94.5
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2021,94.5
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2022,99.5
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2023,99.5
Prix Bas,Yukon ,Énergie hydroélectrique / houlomotrice / marémotrice,Combustible Principal,2024,99.5
